kind,api-version,name,policy,config-policy,standard,category,control,source,policy-dir
RoleBinding,rbac.authorization.k8s.io/v1,AppY-Admin-Binding,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/RoleBinding.AppY-Admin-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
RoleBinding,rbac.authorization.k8s.io/v1,AppY-View-Binding,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/RoleBinding.AppY-View-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
ClusterRoleBinding,rbac.authorization.k8s.io/v1,mc-view-clusterX,policy-configure-clusterlevel-rbac,policy-configure-clusterlevel-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac/config-policies/policy-configure-clusterlevel-rbac-example/ClusterRoleBinding.mc-view-clusterX.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac
ClusterRoleBinding,rbac.authorization.k8s.io/v1,ns-view-clusterX,policy-configure-clusterlevel-rbac,policy-configure-clusterlevel-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac/config-policies/policy-configure-clusterlevel-rbac-example/ClusterRoleBinding.ns-view-clusterX.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac
ClusterRoleBinding,rbac.authorization.k8s.io/v1,mc-admin-clusterX,policy-configure-clusterlevel-rbac,policy-configure-clusterlevel-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac/config-policies/policy-configure-clusterlevel-rbac-example/ClusterRoleBinding.mc-admin-clusterX.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac
ClusterRoleBinding,rbac.authorization.k8s.io/v1,ns-admin-clusterX,policy-configure-clusterlevel-rbac,policy-configure-clusterlevel-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac/config-policies/policy-configure-clusterlevel-rbac-example/ClusterRoleBinding.ns-admin-clusterX.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-clusterlevel-rbac/policies/policy-configure-clusterlevel-rbac
ConstraintTemplate,templates.gatekeeper.sh/v1beta1,k8sdisallowanonymous,policy-gatekeeper-disallow-anonymous,policy-gatekeeper-disallow-anonymous,NIST SP 800-53,AC Access Control,AC-2 Account Management,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous/config-policies/policy-gatekeeper-disallow-anonymous/ConstraintTemplate.k8sdisallowanonymous.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous
K8sDisallowAnonymous,constraints.gatekeeper.sh/v1beta1,no-anonymous,policy-gatekeeper-disallow-anonymous,policy-gatekeeper-disallow-anonymous,NIST SP 800-53,AC Access Control,AC-2 Account Management,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous/config-policies/policy-gatekeeper-disallow-anonymous/K8sDisallowAnonymous.no-anonymous.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous
K8sDisallowAnonymous,constraints.gatekeeper.sh/v1beta1,no-anonymous,policy-gatekeeper-disallow-anonymous,policy-gatekeeper-audit-disallow-anonymous,NIST SP 800-53,AC Access Control,AC-2 Account Management,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous/config-policies/policy-gatekeeper-audit-disallow-anonymous/K8sDisallowAnonymous.no-anonymous.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous
Event,v1,noname,policy-gatekeeper-disallow-anonymous,policy-gatekeeper-admission-disallow-anonymous,NIST SP 800-53,AC Access Control,AC-2 Account Management,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous/config-policies/policy-gatekeeper-admission-disallow-anonymous/Event.noname.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-gatekeeper-disallow-anonymous/policies/policy-gatekeeper-disallow-anonymous
Group,user.openshift.io/v1,SreAdminGrp,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/Group.SreAdminGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
Group,user.openshift.io/v1,TeamA-SreAdminGrp,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/Group.TeamA-SreAdminGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
Group,user.openshift.io/v1,TeamB-SreAdminGrp,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/Group.TeamB-SreAdminGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
Namespace,v1,global-policies,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/Namespace.global-policies.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
Namespace,v1,team-a-policies,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/Namespace.team-a-policies.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
Namespace,v1,team-b-policies,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/Namespace.team-b-policies.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
ClusterRoleBinding,rbac.authorization.k8s.io/v1,SreAdmin-Binding,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/ClusterRoleBinding.SreAdmin-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
RoleBinding,rbac.authorization.k8s.io/v1,TeamA-SreAdmin-Binding,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/RoleBinding.TeamA-SreAdmin-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
RoleBinding,rbac.authorization.k8s.io/v1,TeamB-SreAdmin-Binding,policy-rbac-adminiterpolicies,policy-rbac-adminiterpolicies,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies/config-policies/policy-rbac-adminiterpolicies/RoleBinding.TeamB-SreAdmin-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-rbac-adminiterpolicies-sample/policies/policy-rbac-adminiterpolicies
Role,rbac.authorization.k8s.io/v1,noname,policy-disallowed-roles,policy-disallowed-roles-sample-role,NIST SP 800-53,AC Access Control,AC-6 Least Privilege,./work/c2p-output/parsed/AC-Access-Control/policy-roles-no-wildcards/policies/policy-disallowed-roles/config-policies/policy-disallowed-roles-sample-role/Role.noname.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-roles-no-wildcards/policies/policy-disallowed-roles
APIServer,config.openshift.io/v1,cluster,policy-config-audit,policy-config-audit,NIST SP 800-53,AU Audit and Accountability,AU-3 Content of Audit Records,./work/c2p-output/parsed/AU-Audit-and-Accountability/policy-openshift-audit-logs-sample/policies/policy-config-audit/config-policies/policy-config-audit/APIServer.cluster.0.yaml,./work/c2p-output/parsed/AU-Audit-and-Accountability/policy-openshift-audit-logs-sample/policies/policy-config-audit
MachineConfig,machineconfiguration.openshift.io/v1,99-worker-fips,checkfipscompliance,checkfipscompliance,NIST-CSF,PR.IP Information Protection Processes and Procedures,PR.IP-1 Baseline Configuration,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-check-fips/policies/checkfipscompliance/config-policies/checkfipscompliance/MachineConfig.99-worker-fips.0.yaml,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-check-fips/policies/checkfipscompliance
MachineConfig,machineconfiguration.openshift.io/v1,99-master-fips,checkfipscompliance,checkfipscompliance,NIST-CSF,PR.IP Information Protection Processes and Procedures,PR.IP-1 Baseline Configuration,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-check-fips/policies/checkfipscompliance/config-policies/checkfipscompliance/MachineConfig.99-master-fips.0.yaml,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-check-fips/policies/checkfipscompliance
Namespace,v1,openshift-compliance,policy-comp-operator,comp-operator-ns,NIST SP 800-53,CA Security Assessment and Authorization,CA-2 Security Assessments,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator/config-policies/comp-operator-ns/Namespace.openshift-compliance.0.yaml,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator
CatalogSource,operators.coreos.com/v1alpha1,compliance-operator,policy-comp-operator,comp-operator-catalog-source,NIST SP 800-53,CA Security Assessment and Authorization,CA-2 Security Assessments,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator/config-policies/comp-operator-catalog-source/CatalogSource.compliance-operator.0.yaml,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator
OperatorGroup,operators.coreos.com/v1,compliance-operator,policy-comp-operator,comp-operator-operator-group,NIST SP 800-53,CA Security Assessment and Authorization,CA-2 Security Assessments,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator/config-policies/comp-operator-operator-group/OperatorGroup.compliance-operator.0.yaml,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator
Subscription,operators.coreos.com/v1alpha1,compliance-operator-sub,policy-comp-operator,comp-operator-subscription,NIST SP 800-53,CA Security Assessment and Authorization,CA-2 Security Assessments,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator/config-policies/comp-operator-subscription/Subscription.compliance-operator-sub.0.yaml,./work/c2p-output/parsed/CA-Security-Assessment-and-Authorization/policy-compliance-operator-install-upstream/policies/policy-comp-operator
Namespace,v1,stackrox,policy-advanced-cluster-security-central,advanced-cluster-security-namespace,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central/config-policies/advanced-cluster-security-namespace/Namespace.stackrox.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central
Namespace,v1,rhacs-operator,policy-advanced-cluster-security-central,advanced-cluster-security-namespace,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central/config-policies/advanced-cluster-security-namespace/Namespace.rhacs-operator.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central
OperatorGroup,operators.coreos.com/v1,rhacs-operator-group,policy-advanced-cluster-security-central,advanced-cluster-security-namespace,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central/config-policies/advanced-cluster-security-namespace/OperatorGroup.rhacs-operator-group.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central
Subscription,operators.coreos.com/v1alpha1,rhacs-operator,policy-advanced-cluster-security-central,advanced-cluster-security-operator-subscription,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central/config-policies/advanced-cluster-security-operator-subscription/Subscription.rhacs-operator.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central
Central,platform.stackrox.io/v1alpha1,stackrox-central-services,policy-advanced-cluster-security-central,advanced-cluster-security-central,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central/config-policies/advanced-cluster-security-central/Central.stackrox-central-services.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-central/policies/policy-advanced-cluster-security-central
Namespace,v1,stackrox,policy-advanced-managed-cluster-security,managed-cluster-security-ns,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security/config-policies/managed-cluster-security-ns/Namespace.stackrox.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security
Namespace,v1,rhacs-operator,policy-advanced-managed-cluster-security,managed-cluster-security-ns,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security/config-policies/managed-cluster-security-ns/Namespace.rhacs-operator.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security
OperatorGroup,operators.coreos.com/v1,rhacs-operator-group,policy-advanced-managed-cluster-security,managed-cluster-security-ns,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security/config-policies/managed-cluster-security-ns/OperatorGroup.rhacs-operator-group.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security
Subscription,operators.coreos.com/v1alpha1,rhacs-operator,policy-advanced-managed-cluster-security,managed-cluster-security-operator-sub,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security/config-policies/managed-cluster-security-operator-sub/Subscription.rhacs-operator.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security
SecuredCluster,platform.stackrox.io/v1alpha1,stackrox-secured-cluster-services,policy-advanced-managed-cluster-security,managed-cluster-security-endpoints,NIST SP 800-53,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security/config-policies/managed-cluster-security-endpoints/SecuredCluster.stackrox-secured-cluster-services.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-acs-operator-secured-clusters/policies/policy-advanced-managed-cluster-security
Namespace,v1,awx-resource-operator,policy-awx-resource-operator,policy-awxresource-prod-ns,NIST 800-53,CM Configuration Management,CM-2 Baseline,./work/c2p-output/parsed/CM-Configuration-Management/policy-ansible-awx-operator/policies/policy-awx-resource-operator/config-policies/policy-awxresource-prod-ns/Namespace.awx-resource-operator.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-ansible-awx-operator/policies/policy-awx-resource-operator
OperatorGroup,operators.coreos.com/v1,awx-resource-operator-gp2w4,policy-awx-resource-operator,policy-awxresource-prod-ns,NIST 800-53,CM Configuration Management,CM-2 Baseline,./work/c2p-output/parsed/CM-Configuration-Management/policy-ansible-awx-operator/policies/policy-awx-resource-operator/config-policies/policy-awxresource-prod-ns/OperatorGroup.awx-resource-operator-gp2w4.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-ansible-awx-operator/policies/policy-awx-resource-operator
Subscription,operators.coreos.com/v1alpha1,awx-resource-operator,policy-awx-resource-operator,policy-awxresource-prod-ns,NIST 800-53,CM Configuration Management,CM-2 Baseline,./work/c2p-output/parsed/CM-Configuration-Management/policy-ansible-awx-operator/policies/policy-awx-resource-operator/config-policies/policy-awxresource-prod-ns/Subscription.awx-resource-operator.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-ansible-awx-operator/policies/policy-awx-resource-operator
Application,app.k8s.io/v1beta1,helmchartargo,policy-argocd-kubernetes,policy-argocd-kubernetes,NIST-CSF,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes/config-policies/policy-argocd-kubernetes/Application.helmchartargo.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes
Subscription,apps.open-cluster-management.io/v1,helmchartargo-subscription-1,policy-argocd-kubernetes,policy-argocd-kubernetes,NIST-CSF,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes/config-policies/policy-argocd-kubernetes/Subscription.helmchartargo-subscription-1.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes
PlacementRule,apps.open-cluster-management.io/v1,helmchartargo-placement-1,policy-argocd-kubernetes,policy-argocd-kubernetes,NIST-CSF,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes/config-policies/policy-argocd-kubernetes/PlacementRule.helmchartargo-placement-1.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes
Channel,apps.open-cluster-management.io/v1,argocd,policy-argocd-kubernetes,policy-argocd-kubernetes,NIST-CSF,CM Configuration Management,CM-2 Baseline Configuration,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes/config-policies/policy-argocd-kubernetes/Channel.argocd.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-argocd-kubernetes/policies/policy-argocd-kubernetes
Namespace,v1,ansible-automation-platform,policy-ansible-automation-operator,ansible-automation-platform,NIST 800-53,CM Configuration Management,CM-2 Baseline,./work/c2p-output/parsed/CM-Configuration-Management/policy-automation-operator/policies/policy-ansible-automation-operator/config-policies/ansible-automation-platform/Namespace.ansible-automation-platform.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-automation-operator/policies/policy-ansible-automation-operator
OperatorGroup,operators.coreos.com/v1,ansible-automation-operator-gp,policy-ansible-automation-operator,ansible-automation-platform,NIST 800-53,CM Configuration Management,CM-2 Baseline,./work/c2p-output/parsed/CM-Configuration-Management/policy-automation-operator/policies/policy-ansible-automation-operator/config-policies/ansible-automation-platform/OperatorGroup.ansible-automation-operator-gp.0.yaml,./work/c2p-output/parsed/CM-Configuration-Management/policy-automation-operator/policies/policy-ansible-automation-operator
